Well,528/20,590/20
A1,1041
B1,1035
C1,995
D1,1042
E1,782
F1,735
G1,2
H1,719
A2,1278
B2,1138
C2,1273
D2,1158
E2,1039
F2,1000
G2,2
H2,942
A3,1495
B3,1289
C3,1287
D3,1245
E3,1393
F3,1285
G3,2
H3,1225
A4,1681
B4,1449
C4,1501
D4,1381
E4,1770
F4,1643
G4,2
H4,1867
A5,0
B5,0
C5,1
D5,0
E5,0
F5,1
G5,0
H5,1
A6,0
B6,0
C6,1
D6,1
E6,2
F6,2
G6,2
H6,1
A7,0
B7,0
C7,1
D7,0
E7,0
F7,2
G7,1
H7,1
A8,0
B8,0
C8,0
D8,1
E8,1
F8,1
G8,1
H8,1
A9,1111
B9,847
C9,1
D9,1
E9,1
F9,1
G9,1
H9,1
A10,1116
B10,853
C10,0
D10,0
E10,0
F10,1
G10,1
H10,1
A11,1125
B11,881
C11,1
D11,0
E11,1
F11,1
G11,1
H11,1
A12,1099
B12,866
C12,0
D12,1
E12,1
F12,1
G12,1
H12,1

